,property_type,sector,price,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
880,flat,sector 65,3.0,4.0,4.0,3+, Low Floor,Relatively New,1975.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium
881,flat,sohna road,0.32,2.0,2.0,2,High Floor,Relatively New,719.0,0.0,0.0,0.0,0.0,0.0,1.0,Low
882,flat,sector 107,0.75,2.0,2.0,3+,High Floor,Relatively New,1296.0,0.0,0.0,0.0,1.0,0.0,0.0,High
883,flat,sector 107,0.36,2.0,2.0,1,Medium Floor,Relatively New,493.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
884,flat,sector 89,1.0,2.0,2.0,2, Low Floor,New Property,1432.0,1.0,0.0,0.0,0.0,0.0,0.0,Low
885,flat,sohna road,0.35,2.0,2.0,2,High Floor,New Property,658.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
886,flat,sector 48,4.3,4.0,5.0,3+,Medium Floor,New Property,4024.0,1.0,1.0,0.0,1.0,0.0,0.0,Medium
887,flat,sector 67a,1.7,3.0,3.0,2,Medium Floor,New Property,1437.0,0.0,1.0,0.0,0.0,1.0,1.0,Low
888,flat,sector 69,1.36,3.0,3.0,1,High Floor,Relatively New,1383.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium
889,house,sector 67,3.0,4.0,4.0,0,Medium Floor,New Property,3271.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
890,flat,sector 108,3.95,3.0,5.0,2,High Floor,New Property,2035.0,0.0,1.0,0.0,0.0,0.0,0.0,High
891,flat,sector 90,1.65,4.0,4.0,3+,Medium Floor,Moderately Old,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,High
892,flat,sector 2,0.95,2.0,3.0,2, Low Floor,Old Property,1688.0,1.0,0.0,0.0,0.0,0.0,1.0,Low
893,flat,sector 90,1.25,3.0,3.0,3+,Medium Floor,Relatively New,1929.0,0.0,1.0,0.0,1.0,0.0,0.0,High
894,flat,sector 110,3.79,5.0,5.0,3,Medium Floor,Relatively New,3445.0,0.0,1.0,0.0,0.0,1.0,0.0,High
895,house,sector 110,0.34,2.0,2.0,2,Medium Floor,Moderately Old,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
896,flat,sector 102,1.75,3.0,3.0,3,Medium Floor,Relatively New,1565.0,1.0,1.0,0.0,1.0,1.0,0.0,Low
897,house,sector 70a,0.9,2.0,2.0,3+,Medium Floor,New Property,1541.0,0.0,1.0,0.0,0.0,1.0,0.0,High
898,flat,sector 61,1.58,2.0,2.0,2,Medium Floor,New Property,1493.0,1.0,0.0,0.0,0.0,0.0,0.0,Low
899,flat,sector 37d,0.8,2.0,2.0,3, Low Floor,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
900,flat,sector 92,0.5,3.0,3.0,1, Low Floor,Relatively New,576.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
901,flat,sector 111,0.36,1.0,1.0,1,Medium Floor,Relatively New,526.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
902,flat,sector 69,2.0,4.0,4.0,2, Low Floor,Relatively New,1877.0,0.0,0.0,0.0,0.0,0.0,0.0,High
903,flat,sector 47,2.45,3.0,4.0,2, Low Floor,Old Property,2973.0,1.0,0.0,0.0,0.0,0.0,1.0,Low
904,flat,sector 69,2.05,4.0,4.0,2, Low Floor,Relatively New,1877.0,0.0,0.0,0.0,0.0,0.0,0.0,High
905,flat,sector 104,4.45,4.0,5.0,3+,High Floor,Relatively New,8438.0,0.0,0.0,0.0,0.0,0.0,0.0,High
906,flat,sector 102,1.42,2.0,2.0,3,High Floor,Relatively New,1368.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
907,flat,sector 113,2.4,3.0,4.0,3+,Medium Floor,Relatively New,1940.0,0.0,1.0,0.0,0.0,0.0,0.0,Low
908,house,sector 21,0.6,3.0,3.0,2,Medium Floor,Old Property,972.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
909,flat,sector 108,2.5,3.0,3.0,2,High Floor,New Property,1480.0,0.0,0.0,0.0,0.0,0.0,0.0,High
910,flat,sector 52,1.5,4.0,4.0,3,Medium Floor,Old Property,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
911,flat,sector 78,1.15,3.0,3.0,3,Medium Floor,Moderately Old,1957.0,0.0,1.0,0.0,0.0,1.0,0.0,Low
912,flat,sector 107,0.28,2.0,2.0,2, Low Floor,Relatively New,635.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
913,flat,sector 36,0.85,3.0,2.0,3, Low Floor,New Property,974.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
914,flat,sector 81,3.45,4.0,4.0,3+,High Floor,Moderately Old,2512.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium
915,flat,sector 72,4.25,4.0,4.0,3+, Low Floor,Relatively New,2923.0,0.0,1.0,0.0,0.0,0.0,1.0,High
916,flat,sector 89,1.2,3.0,3.0,2, Low Floor,New Property,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
917,flat,sector 103,0.5,2.0,2.0,2,Medium Floor,Relatively New,752.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
918,flat,sector 88a,1.45,2.0,2.0,3+,Medium Floor,Relatively New,143.0,1.0,0.0,0.0,0.0,0.0,2.0,Medium
