property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price_per_sqft,bath_bed_ratio,price_log
flat,sector 104,1.4,3.0,2.0,2,Under Construction,1199.0,0.0,0.0,unfurnished,Low,0.0011676396997497914,0.6666666666666666,0.8754687373538999
flat,sector 88a,1.0,2.0,2.0,3,Relatively New,1882.0,0.0,0.0,unfurnished,Medium,0.0005313496280552603,1.0,0.6931471805599453
flat,sohna road,1.3,3.0,3.0,3+,Relatively New,1625.0,0.0,0.0,unfurnished,Low,0.0008,1.0,0.832909122935104
flat,sector 85,0.9,3.0,3.0,2,Relatively New,1402.0,0.0,0.0,unfurnished,High,0.0006419400855920115,1.0,0.6418538861723948
flat,sector 83,1.15,3.0,3.0,2,Relatively New,1350.0,1.0,1.0,semiunfurnished,High,0.0008518518518518518,1.0,0.7654678421395714
flat,sector 69,1.36,3.0,3.0,2,Relatively New,1419.0,0.0,0.0,semiunfurnished,Low,0.0009584214235377027,1.0,0.8586616190375187
flat,sector 102,1.4,2.0,2.0,3,Relatively New,1394.0,0.0,0.0,unfurnished,Medium,0.0010043041606886656,1.0,0.8754687373538999
house,sector 55,2.8,4.0,4.0,0,New Property,1500.0,0.0,0.0,unfurnished,Low,0.0018666666666666666,1.0,1.33500106673234
flat,sector 84,0.34,2.0,2.0,1,Relatively New,627.0,0.0,1.0,semiunfurnished,Medium,0.0005422647527910686,1.0,0.29266961396282
flat,sector 84,0.39,2.0,2.0,0,Relatively New,594.0,0.0,0.0,unfurnished,Low,0.0006565656565656566,1.0,0.32930374714260036
house,sector 4,1.1,3.0,4.0,1,Moderately Old,990.0,0.0,0.0,unfurnished,Low,0.0011111111111111111,1.3333333333333333,0.7419373447293773
flat,sohna road,0.35,2.0,2.0,2,New Property,518.0,0.0,0.0,unfurnished,Low,0.0006756756756756756,1.0,0.30010459245033805
flat,sector 91,1.75,4.0,3.0,3+,Relatively New,2247.0,1.0,1.0,unfurnished,High,0.000778816199376947,0.75,1.0116009116784799
flat,sector 49,2.1,3.0,3.0,3,Moderately Old,1604.25,0.0,0.0,semiunfurnished,High,0.0013090229079008883,1.0,1.1314021114911006
flat,sector 48,3.65,3.0,3.0,3+,Relatively New,2395.0,0.0,0.0,semiunfurnished,High,0.001524008350730689,1.0,1.536867219599265
flat,sohna road,0.95,2.0,2.0,3+,New Property,1175.97,0.0,0.0,unfurnished,Medium,0.0008078437375103106,1.0,0.6678293725756554
flat,sector 69,1.29,3.0,3.0,1,Relatively New,1410.0,0.0,0.0,semiunfurnished,Medium,0.0009148936170212766,1.0,0.8285518175661483
house,sector 76,0.75,2.0,2.0,2,New Property,745.0,0.0,0.0,unfurnished,Low,0.0010067114093959733,1.0,0.5596157879354227
flat,sector 82a,1.85,3.0,3.0,3+,Relatively New,1807.0,0.0,0.0,semiunfurnished,Low,0.0010237963475373548,1.0,1.0473189942805592
flat,sector 78,0.7,2.0,2.0,2,Moderately Old,1224.0,0.0,0.0,unfurnished,Low,0.0005718954248366012,1.0,0.5306282510621704
flat,sector 95,0.32,2.0,2.0,1,Relatively New,713.0,0.0,0.0,semiunfurnished,Medium,0.0004488078541374474,1.0,0.27763173659827944
